Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
31.0,4.8,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,15,20002.520251320853
32.0,4.7,Windy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,25,20002.520251320853
20.0,4.9,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,11,20002.520251320853
24.0,4.8,Stormy,Medium,1,Snack,scooter,0.0,No,Urban,25,20002.520251320853
37.0,4.5,Fog,Low,2,Meal,motorcycle,1.0,No,Metropolitian,16,20002.520251320853
27.0,4.5,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,15,20002.520251320853
20.0,4.9,Stormy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,22,20002.520251320853
36.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Urban,45,20002.520251320853
24.0,4.9,Windy,Low,2,Drinks,scooter,,No,Urban,11,20002.520251320853
28.0,4.6,Sandstorms,Low,2,Buffet,scooter,0.0,No,Urban,10,20002.520251320853
32.0,4.7,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,26,20002.520251320722
33.0,4.7,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,20002.520251320722
21.0,4.7,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,44,20002.520251320722
38.0,4.7,Cloudy,Low,2,Drinks,motorcycle,1.0,No,Urban,28,20002.520251320722
28.0,4.7,Windy,Jam,1,Drinks,scooter,1.0,No,Urban,26,20002.520251320722
36.0,4.9,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Urban,36,20002.520251320722
26.0,4.7,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,27,20002.520251320722
30.0,4.6,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,20,20002.520251320722
23.0,4.9,Sunny,Low,0,Buffet,motorcycle,,No,Metropolitian,26,20002.520251320722
38.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,20,20002.520251320722
33.0,4.7,Fog,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,17,20002.520251320722
28.0,4.9,Stormy,High,0,Meal,motorcycle,1.0,No,Urban,22,20002.520251320722
28.0,4.8,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,16,20002.520251320722
22.0,4.9,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,22,20002.520251320722
27.0,4.8,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.52025131765
20.0,4.4,Fog,Jam,1,Meal,scooter,2.0,No,,32,20002.52025131765
25.0,4.4,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,20002.52025131765
21.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,20002.52025131765
29.0,5.0,Fog,Medium,1,Drinks,motorcycle,,No,Urban,30,20002.52025131765
34.0,4.8,Cloudy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,42,20002.52025131765
22.0,4.9,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,20002.52025131765
27.0,4.5,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,11,20002.52025131765
26.0,4.8,Windy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,18,20002.520251317605
22.0,4.6,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,20002.520251317605
20.0,4.7,Sandstorms,Low,2,Meal,scooter,0.0,No,Metropolitian,17,20002.520251317605
37.0,4.6,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,32,20002.520251317605
35.0,4.0,Stormy,High,0,Meal,motorcycle,1.0,No,Metropolitian,31,20002.520251317605
39.0,4.6,Cloudy,Jam,0,Meal,motorcycle,2.0,Yes,Metropolitian,50,20002.520251317605
25.0,4.0,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,33,20002.520251317605
20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.520251317605
30.0,4.8,Sunny,Low,1,Drinks,motorcycle,,No,Metropolitian,12,20002.520251317605
25.0,4.8,Sunny,Low,1,Buffet,motorcycle,0.0,No,Urban,16,20002.520251317605
24.0,4.9,Sunny,Medium,2,Drinks,scooter,0.0,No,Metropolitian,12,20002.520251316964
24.0,4.6,Windy,Medium,2,Snack,electric_scooter,0.0,No,Urban,24,20002.520251316964
,,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,20002.520251316964
26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,28,20002.520251316964
30.0,4.5,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,31,20002.520251316964
26.0,5.0,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,24,20002.520251316964
33.0,4.2,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,39,20002.520251316964
30.0,5.0,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,24,20002.520251316964
39.0,4.1,Stormy,Jam,2,Meal,scooter,3.0,Yes,Metropolitian,42,20002.520251316964
36.0,4.9,Fog,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,41,20002.520251316964
24.0,4.3,Stormy,High,0,Buffet,motorcycle,0.0,No,Metropolitian,37,20002.520251316964
32.0,4.7,Windy,Low,0,Meal,motorcycle,1.0,No,Urban,29,20002.520251316964
20.0,5.0,Sandstorms,Low,1,Snack,motorcycle,,No,Metropolitian,10,20002.520251316964
22.0,5.0,Sunny,Jam,2,Snack,scooter,0.0,No,Metropolitian,17,20002.520251316815
